fraktion_norm,Parlamentarische Diskussionskultur / Debattenbeiträge,Ukraine / Russland / Europäische Sicherheitspolitik,"Bildung, Soziales und Kommunalfinanzierung",Energie- und Wirtschaftspolitik,Fragestunde und Parlamentarische Anfragen,Gesetzgebungsverfahren und Verwaltung,Bundeswehr / Auslandseinsätze / Verteidigung,"Demokratie, Gesellschaft und Wertedebatte"
AfD,0.021,0.0073,0.0059,0.0143,0.008,0.0097,0.0049,0.0162
BSW,0.022,0.0156,0.0047,0.0108,0.0052,0.006,0.0065,0.013
CDU/CSU,0.021,0.0091,0.0121,0.0113,0.0118,0.0167,0.0071,0.0102
Die Linke,0.0178,0.0071,0.0121,0.0113,0.0078,0.0131,0.005,0.011
FDP,0.0159,0.0116,0.0149,0.0108,0.0098,0.0198,0.0074,0.0123
Grüne,0.0141,0.0105,0.0179,0.0131,0.0091,0.0161,0.006,0.0138
SPD,0.0151,0.01,0.019,0.0125,0.0083,0.0192,0.007,0.0145
