term,mean_tfidf
digitale,0.07502062068064966
deutschland,0.067281116785087
digitalisierung,0.059414957360147964
mittel,0.058220586121893916
fordern,0.055184036519891316
unternehmen,0.04911247542851296
klimaschutz,0.04841406123997661
öffentlichen,0.04838921638710963
verwaltung,0.04810630228929191
alle,0.04638662199816037
haushalt,0.04587526298595358
setzt,0.044756257868683195
