year,total_offenses,violent_offenses,internet_offenses,clearance_rate_pct,source,source_url,access_date,notes,yoy_change_pct,yoy_violent_change_pct
2023,60028,3561,15490,47,BMI/BKA Politisch motivierte Kriminalität — Jahresbericht 2023,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/05/pmk2023.html,2025-05-20,internet_offenses: derived from 2024 figure and stated +29.6% change; clearance_rate from BMI press release,,
2024,84172,4107,20074,42,BMI/BKA Politisch motivierte Kriminalität — Jahresbericht 2024,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html,2025-05-20,all figures from official BMI/BKA joint press release 20 May 2025; cross-verified via bpb.de and BKA factsheet,40.221230092623436,15.332771693344572
