year_month,Parlamentarische Diskussionskultur / Debattenbeiträge,Ukraine / Russland / Europäische Sicherheitspolitik,"Bildung, Soziales und Kommunalfinanzierung",Energie- und Wirtschaftspolitik,Fragestunde und Parlamentarische Anfragen,Gesetzgebungsverfahren und Verwaltung,Bundeswehr / Auslandseinsätze / Verteidigung,"Demokratie, Gesellschaft und Wertedebatte"
2021-10,0.0157445178064357,0.0014024051795402,0.0033723430547185,0.0001758952462778,0.0164231997981075,0.0118154735402118,0.0010976823973793,0.0114928323803725
2021-11,0.0236270015191628,0.0064624523968003,0.0138937690298405,0.0125261347116058,0.0066606767837829,0.019033480423809,0.0020167561211395,0.0107979188343315
2021-12,0.0173692172801026,0.0082276783546683,0.0164894848896178,0.0118247839575487,0.0058805427514244,0.0197355820530022,0.0032599908000706,0.0127843930491724
2022-01,0.0135959255996121,0.0089879100519249,0.0168028702150765,0.014912063475216,0.01462339476309,0.0131248633216518,0.0070443129266144,0.0138221306462262
2022-02,0.0150176467386715,0.0157022273666579,0.0122549102309553,0.0105755549081493,0.012111323028826,0.0110335734836968,0.0112563028792788,0.0147183038469972
2022-03,0.0152955503037493,0.0165485731428941,0.0200033274547075,0.0127273329316176,0.0100499994325281,0.0126957770650325,0.0072561798127571,0.0137203528961211
2022-04,0.0148393675463319,0.0171984906519621,0.0123361314806911,0.0112099559210589,0.0111024965481042,0.0139618997772071,0.0086085598433029,0.0110100890812694
2022-05,0.0166593679760441,0.0107892295355038,0.0165356631034367,0.012049976892168,0.0112150715973752,0.0159424578336294,0.0081836527567632,0.009507007790021
2022-06,0.0148417988927516,0.0145315947064163,0.016688886696413,0.0112855173341134,0.0094270294459098,0.0155293575777297,0.0157278241664434,0.009983787499273
2022-07,0.0161334149830207,0.0121217944801002,0.013343625552977,0.0151011066184111,0.0105119177719607,0.0136670273651806,0.0100599891480825,0.0102381420200773
2022-09,0.0175001466050781,0.0104471292190794,0.0180971508109067,0.0187571137126257,0.0102897872280214,0.0142746597440228,0.0033836052970851,0.0091963685458326
2022-10,0.0163530550507142,0.0081984554284129,0.013279117722886,0.0155611180790196,0.0139178531102969,0.0159216973210427,0.0043242905659968,0.0085462775659336
2022-11,0.016263962582588,0.0089142373145395,0.0203277852849901,0.0144063516090878,0.010491416661584,0.0132318437783625,0.0049562530925982,0.0107654778286453
2022-12,0.0160436654212337,0.0066943206115231,0.0163902093206444,0.0117601181583147,0.0094598786610118,0.0200936306946142,0.0023230434669666,0.0118882671970913
2023-01,0.0155967153597984,0.0119162505285013,0.0140525388697738,0.0113251656131325,0.0138299433245147,0.0135600806430213,0.0036782296655191,0.0128288094127112
2023-02,0.0157529657294737,0.0102909996641402,0.0129240780647003,0.0130610717987191,0.0164999249230534,0.0166988065725048,0.003930891477031,0.0074162259250987
2023-03,0.0158736974514183,0.0108557669056043,0.0132468722373771,0.0098595135164534,0.0141158557410141,0.0142757995306751,0.0064132224574388,0.0108373531438149
2023-04,0.0156653278374964,0.0070708289301183,0.0142084437692985,0.011169688649005,0.0143794836026177,0.0177504035050099,0.0082276402014194,0.0095186592313247
2023-05,0.0153705373791581,0.0066573406654342,0.0120007146989418,0.0095997932370378,0.0148443386805167,0.0156941375137414,0.0085044887532471,0.0125019651035651
2023-06,0.0159502726733543,0.0089033861249652,0.0114509597982134,0.0101391822973451,0.0140110404491575,0.0167066979664952,0.0063359158943434,0.0115488168180396
2023-07,0.0157705265266137,0.0059860871481408,0.0092631511051045,0.0148156166118656,0.012385227043402,0.0207842503396215,0.0068383043493332,0.0127908457133875
2023-09,0.0171008204579837,0.0066844248294513,0.0199666118381007,0.0129174803544925,0.0116582677700476,0.0136642767560843,0.0051267543558059,0.0097660924186887
2023-10,0.0136766879366253,0.0069292541366608,0.0107143373687464,0.0120831408920879,0.0135301585754677,0.0188283855688169,0.0057913429335782,0.0139681282205301
2023-11,0.0161480685855474,0.0068640810626918,0.011395316436211,0.0099055725696539,0.0140081736155625,0.0189240583025381,0.004428627928985,0.0132588080278075
2023-12,0.0179527320425847,0.0091153096476998,0.0121695457858828,0.0104448962357428,0.0133016021077237,0.0170218670914971,0.0047352320059231,0.011121268937323
2024-01,0.0165447209498085,0.0124014643355219,0.0154014479230341,0.0107258328220395,0.0118218013508074,0.0108239312190615,0.0067515007542372,0.0157736860166015
2024-02,0.0155595255968718,0.0104654291607962,0.0141608577717639,0.0115031434141402,0.0109594866028724,0.0149118253669766,0.008928154188721,0.0119369170185372
2024-03,0.0162160212233892,0.0121150488305004,0.0119323717751693,0.0077198518847771,0.0115019092673402,0.0136540331582028,0.0074097885702217,0.0149632993831454
2024-04,0.0163406443973984,0.0092073175706607,0.0103008257955706,0.0109119466252305,0.0123875575336086,0.0170174767969337,0.0053485901294415,0.0131932834140563
2024-05,0.0150939361131518,0.006553298360304,0.0156912267102701,0.007917410655086,0.0111661271479215,0.016229323880559,0.0020494591337367,0.0177275019116747
2024-06,0.0160999621664924,0.0084374001334454,0.011856523183385,0.0085667991140317,0.0152601007208566,0.0149887558948428,0.0072579319477234,0.0122674918839254
2024-07,0.0159859138206623,0.00881187382398,0.0121689885122375,0.0102402603752361,0.0110530555092168,0.0180359779377544,0.0038526039655641,0.0140481261078753
2024-09,0.0184175344594284,0.0074530770592656,0.0168998631676857,0.0142527232152999,0.0101119422056409,0.0150115532791194,0.0077968040097702,0.0112691354704275
2024-10,0.0138732395341382,0.0071346610860935,0.0122866243939873,0.0085600754701979,0.0126037406766903,0.0202953135561739,0.0058219669719522,0.0131425688352538
2024-11,0.0150324933921154,0.0088694632067664,0.0080198853592436,0.0098766046234159,0.0207520924151803,0.0103733274159684,0.002455912808295,0.0152663083608384
2024-12,0.0191412352289786,0.0087470398020616,0.0092260937788315,0.012440685555292,0.0116099478903036,0.0149308808643784,0.0058342614120929,0.0145893551974517
2025-01,0.0173023777024116,0.007564558917589,0.0100307268035298,0.0072357789392803,0.0107473648432878,0.0118301898019942,0.0087901514669744,0.0230285768794678
2025-02,0.0319998291248815,0.0167014044583973,0.0106922869406544,0.025016781210988,0.0051387860562216,0.0020859112593584,0.0024596797229999,0.0265498898418759
2025-03,0.0172156685776674,0.0195758010804843,0.0111539638410439,0.0173890567987416,0.00446962092792,0.0157115783513501,0.0122548627732553,0.0161675046050874
