Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV_accuracy_mean,CV_accuracy_std,CV_f1_mean,CV_f1_std,CV_roc_auc_mean,CV_roc_auc_std
Logistic Regression,0.7392307692307692,0.7665198237885462,0.8456865127582017,0.804159445407279,0.805640253610175,0.7427383949063449,0.010134318552797662,0.8063161101839086,0.008876997833187066,0.8016527906441236,0.012904210548383258
Random Forest,0.8407692307692308,0.85,0.9088699878493317,0.8784497944803288,0.9004231081766102,0.8145080328718443,0.007972167481176845,0.8576646698995694,0.006660217140361746,0.8845190698773212,0.006033919256545126
Gradient Boosting,0.8046153846153846,0.8221970554926388,0.8821385176184691,0.8511137162954279,0.8746392372335194,0.7906476271562893,0.009878986276938076,0.8385646447467183,0.008666025771777342,0.857253143986388,0.00578055531668208
