year,subcategory,subcategory_label_de,count,source,source_url,access_date,notes
2022,antisemitic-offenses,Antisemitische Straftaten,2641,"BMI/BKA PMK-Jahresbericht 2022","https://www.bka.de/DE/UnsereAufgaben/Deliktsbereiche/PMK/PMKZahlen2022/PMKZahlen2022_node.html","2025-05-20",""
2023,antisemitic-offenses,Antisemitische Straftaten,5164,"BMI/BKA PMK-Jahresbericht 2023","https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/05/pmk2023.html","2025-05-20",""
2024,antisemitic-offenses,Antisemitische Straftaten,6236,"BMI/BKA PMK-Jahresbericht 2024","https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html","2025-05-20","highest recorded level since systematic tracking began; 48% PMK-rechts 31% PMK-auslaendische 11% PMK-religioese"
2024,hate-crime-total,Hasskriminalität gesamt,21773,"BMI/BKA PMK-Jahresbericht 2024","https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html","2025-05-20","28.0% increase vs 2023 (17007)"
2024,islamophobic-offenses,Islamfeindliche Straftaten,1848,"BMI/BKA PMK-Jahresbericht 2024","https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2025/05/pmk2024.html","2025-05-20","85.55% attributable to PMK-rechts (1581 offenses)"
